Collections of quad+ 119s
[4] 357161201210 -> 119430087c9390333c1ff60ad11955893e119f1e43f9d3c0777119ca087b8b08
[4] 357435648830 -> 111960518d8b11197119b3d65c58a41ba4d0616e11901280ea61ccde9be6068f
[4] 357974333850 -> af0d451191190dc747a96eda26addea4cf9d239e41192ee2c2a2119f3955e46d
[4] 358030337427 -> 6ab2f19bb88246a1f60a29de39ca778814c94df311911903064c119e2e119151
[4] 358414854146 -> 34fd3e11193b85ba0cf5907cded11902f1a20ea58290f119479508111975d1cf
[4] 358627424601 -> 119bfcf87ce489349a1b49635c8119f5a2e3c5f14173438f1193757488928119
[4] 358963902438 -> bbc12ff511932c2e6aa119b03593e6d11902623c8b11947982a93c9d36728fd3
[4] 360209900800 -> 192f743141190119a983771014cc46e23e351195969f341193937caae6ff1432
[4] 364184271981 -> 1196054e1a119174ede43e6afeaa1352ad17119e0cdc1192237810eea5da731c
[4] 364314019947 -> 1ee5394c1192f11948389e467119a1437806647e7507d55bedaf32a3c209a119
[4] 365354748398 -> 6dd1e8ec7cc11963df4f5a119a7e51505eee44a3c7119febda7dd01911917294
[4] 365918587617 -> 5c0713fceacf71d28a1194995d26fdcab73eb1193370edaa711950711997c52a
[4] 367572670759 -> 08f119bcc0c4190e6aedd3548119e79492d3ecd211997930e8d11910c66fc912
[4] 367783098129 -> 897a331191fd9edf0826cbce011aa5d8de1193ff61193a39f537c484b119eb06
[4] 368912846682 -> 5e119e1197119a4196693214515a98b29314f1cad0111193b06fb5039131c31d
[4] 369919163622 -> 03c8119c4ec119f6a9b4119a719493ea9eb5b01199f55e2800b8748ffcabc5f7
[4] 370221494170 -> 01192c81f5bb0bdc828708cb38119a65e119f81b8b9f40a031199d73e169d8fb
[4] 370366077708 -> 84d1119067a091193f900f981c1b104cbcd7119dea6fa9c2d119e328a5cad4c1
[4] 370534723661 -> b2280648193962b14a11982eff52d5635111993c6d119a6832b119e5cfa25fc1
[4] 371773934487 -> 2d0a8af007d31193b27119b2fee511aff72ab24619fba4e471119b725088d119
[4] 371898236292 -> b8060d94c26111952b05d223119ed7c277e80bc37360d119b37eb3446f42b119
[4] 373574922504 -> 3867f08f6978af19214781119d119c63c11973bb8fe10de1a11977d708042424
[4] 373695972151 -> de6e6f5942be0d409f91191faa005245eb3401b119d119278d736815d41193e2
[4] 375300988615 -> 7d4bf3180e32751190fda503cc546afbf13d633af8119e51d8d1113119731119
[4] 376187290998 -> 6e637da119dbed81190d446840404367a9b52119b8179743158eb2341192cfcf
[4] 376352579419 -> 3bf47b11953c54602aaff3ef523b7ead1f119dc16953a997e54e61196be119c2
[4] 376444646986 -> c07e1196ec74b632e5ea5a6e311942702ab294e00d5c83e1193d144031d5119c
[4] 377283665198 -> 512fafd119193efd6151f5119797d08119576de8aad8711b801ac31119ff3c32
[4] 377301831952 -> 5bcd1a33f15111991e7755f26700611982be5961195220d8cf8552cd119421f3
[4] 379301593827 -> cfa1e3e4acaf9916555591451bcb4696d8d1465911195ede4fa119d119a51193
[4] 383312818736 -> 8bebd1a2877f3ecda0b249a2172ba62f7119e1196a96b1119c2101ec9a92d119
[4] 384294867753 -> c6718d848bfd1197e18734e6cc41e7d09852cfd7142d119cbd41544119408119
[4] 387321428616 -> ef826bc60c5b90fe95fc119ef5256158a548cf67203119a9111192cd119a0959
[4] 389981020470 -> 711936649e1198eadfccf60c02f5c35216c5ebed1192b2668dbccb2c1190dae5
[4] 391587493908 -> c2adf48b1199eb1acae420f99391192ab653c3d11947873aee294abb1197604c
